# USDT/VES Historical Rate Dataset
# Source: usdt.com.ve
# License: CC-BY-4.0 (https://creativecommons.org/licenses/by/4.0/)
# Generated: 2026-08-28T17:01:23.683Z
# Citation: usdt.com.ve, "USDT/VES Historical Rate Dataset", retrieved 2026-08-28, https://www.usdt.com.ve/datos
# Columns: captured_at (ISO 8601 UTC), source (binance|bybit|bcv), buy_rate (Bs. per USD/USDT), sell_rate (Bs., null for BCV)
captured_at,source,buy_rate,sell_rate
2026-01-17T21:35:30.84151+00:00,binance,451,451.15
2026-01-17T21:40:31.059392+00:00,bcv,344.51,
2026-01-17T21:40:31.059392+00:00,bybit,452.4945,446.3615
2026-01-17T21:40:31.059392+00:00,binance,451,451.305
2026-01-17T21:45:31.031096+00:00,bybit,452.4945,446.2965
2026-01-17T21:45:31.031096+00:00,binance,451.2425,451.7045
2026-01-17T21:45:31.031096+00:00,bcv,344.51,
2026-01-17T21:50:30.785675+00:00,bcv,344.51,
2026-01-17T21:50:30.785675+00:00,bybit,452,446.365
2026-01-17T21:50:30.785675+00:00,binance,451,451.7265
2026-01-17T21:55:31.009865+00:00,binance,450.9875,451.725
2026-01-17T21:55:31.009865+00:00,bybit,452.4815,446.2965
2026-01-17T21:55:31.009865+00:00,bcv,344.51,
2026-01-17T22:00:31.04136+00:00,bybit,451.95,446.297
2026-01-17T22:00:31.04136+00:00,bcv,344.51,
2026-01-17T22:00:31.04136+00:00,binance,451.075,451.727
2026-01-17T22:05:31.110464+00:00,bybit,451.338,446.135
2026-01-17T22:05:31.110464+00:00,binance,451,451.55
2026-01-17T22:05:31.110464+00:00,bcv,344.51,
2026-01-17T22:10:31.130505+00:00,binance,451,451.3
2026-01-17T22:10:31.130505+00:00,bybit,451,446.135
2026-01-17T22:10:31.130505+00:00,bcv,344.51,
2026-01-17T22:15:31.150025+00:00,bcv,344.51,
2026-01-17T22:15:31.150025+00:00,bybit,451,446.135
2026-01-17T22:15:31.150025+00:00,binance,450.9995,451.25
2026-01-17T22:20:30.871673+00:00,bybit,450,446.297
2026-01-17T22:20:30.871673+00:00,binance,450.2445,451.525
2026-01-17T22:20:30.871673+00:00,bcv,344.51,
2026-01-17T22:25:30.837161+00:00,bybit,451,445.3
2026-01-17T22:25:30.837161+00:00,binance,450.9945,451.6
2026-01-17T22:25:30.837161+00:00,bcv,344.51,
2026-01-17T22:30:31.351171+00:00,binance,450.9,451.6505
2026-01-17T22:30:31.351171+00:00,bcv,344.51,
2026-01-17T22:30:31.351171+00:00,bybit,450,445.06
2026-01-17T22:35:31.131106+00:00,binance,450.7195,451.85
2026-01-17T22:35:31.131106+00:00,bcv,344.51,
2026-01-17T22:35:31.131106+00:00,bybit,450.5,445.5
2026-01-17T22:40:30.856019+00:00,bcv,344.51,
2026-01-17T22:40:30.856019+00:00,bybit,450,445.5
2026-01-17T22:40:30.856019+00:00,binance,450.9925,451.85
2026-01-17T22:45:30.89488+00:00,bcv,344.51,
2026-01-17T22:45:30.89488+00:00,bybit,450,445.775
2026-01-17T22:45:30.89488+00:00,binance,450.997,451.85
2026-01-17T22:50:31.06214+00:00,binance,451,451.85
2026-01-17T22:50:31.06214+00:00,bcv,344.51,
2026-01-17T22:50:31.06214+00:00,bybit,450,446
2026-01-17T22:55:31.044853+00:00,bcv,344.51,
2026-01-17T22:55:31.044853+00:00,bybit,450,446
2026-01-17T22:55:31.044853+00:00,binance,451,452.25
2026-01-17T23:00:32.305374+00:00,bcv,344.51,
2026-01-17T23:00:32.305374+00:00,bybit,450,446
2026-01-17T23:00:32.305374+00:00,binance,450.999,452.275
2026-01-17T23:05:30.905824+00:00,bybit,450,446.0005
2026-01-17T23:05:30.905824+00:00,binance,450.999,452.305
2026-01-17T23:05:30.905824+00:00,bcv,344.51,
2026-01-17T23:10:30.97444+00:00,bcv,344.51,
2026-01-17T23:10:30.97444+00:00,bybit,450,446.0555
2026-01-17T23:10:30.97444+00:00,binance,451,452.555
2026-01-17T23:15:31.184462+00:00,binance,451,453
2026-01-17T23:15:31.184462+00:00,bcv,344.51,
2026-01-17T23:15:31.184462+00:00,bybit,451,446.776
2026-01-17T23:20:31.146341+00:00,bybit,451,447
2026-01-17T23:20:31.146341+00:00,bcv,344.51,
2026-01-17T23:20:31.146341+00:00,binance,451,453.1
2026-01-17T23:25:31.112403+00:00,bybit,451,447.05
2026-01-17T23:25:31.112403+00:00,binance,451,453.1
2026-01-17T23:25:31.112403+00:00,bcv,344.51,
2026-01-17T23:30:30.817692+00:00,binance,451,453.05
2026-01-17T23:30:30.817692+00:00,bybit,450.5,447.05
2026-01-17T23:30:30.817692+00:00,bcv,344.51,
2026-01-17T23:35:30.83641+00:00,bcv,344.51,
2026-01-17T23:35:30.83641+00:00,bybit,451,447.05
2026-01-17T23:35:30.83641+00:00,binance,451.3245,453.05
2026-01-17T23:40:30.795538+00:00,binance,451.05,453
2026-01-17T23:40:30.795538+00:00,bcv,344.51,
2026-01-17T23:40:30.795538+00:00,bybit,451,447.3
2026-01-17T23:45:31.235899+00:00,bybit,451.6,447.6665
2026-01-17T23:45:31.235899+00:00,binance,451.3495,453.105
2026-01-17T23:45:31.235899+00:00,bcv,344.51,
2026-01-17T23:50:30.901837+00:00,binance,451.79,452.1
2026-01-17T23:50:30.901837+00:00,bcv,344.51,
2026-01-17T23:50:30.901837+00:00,bybit,451,448.137
2026-01-17T23:55:31.141668+00:00,binance,451.745,451.5275
2026-01-17T23:55:31.141668+00:00,bcv,344.51,
2026-01-17T23:55:31.141668+00:00,bybit,451,448.5005
2026-01-18T00:00:30.892959+00:00,bcv,344.51,
2026-01-18T00:00:30.892959+00:00,bybit,451,448.3115
2026-01-18T00:00:30.892959+00:00,binance,451.849,451.575
2026-01-18T00:05:30.99156+00:00,binance,451.9435,452
2026-01-18T00:05:30.99156+00:00,bcv,344.51,
2026-01-18T00:05:30.99156+00:00,bybit,451,448.57
2026-01-18T00:10:31.003126+00:00,binance,452,452.1
2026-01-18T00:10:31.003126+00:00,bybit,451.1,448.5905
2026-01-18T00:10:31.003126+00:00,bcv,344.51,
2026-01-18T00:15:30.988832+00:00,bcv,344.51,
2026-01-18T00:15:30.988832+00:00,bybit,451.45,448.6
2026-01-18T00:15:30.988832+00:00,binance,452,452
2026-01-18T00:20:31.071496+00:00,bcv,344.51,
2026-01-18T00:20:31.071496+00:00,bybit,452.199,448.591
2026-01-18T00:20:31.071496+00:00,binance,452.25,451.15
2026-01-18T00:25:30.864887+00:00,bybit,452.75,448.591
2026-01-18T00:25:30.864887+00:00,bcv,344.51,
2026-01-18T00:25:30.864887+00:00,binance,452.549,451.3
2026-01-18T00:30:30.82812+00:00,bcv,344.51,
2026-01-18T00:30:30.82812+00:00,bybit,452.75,448.5925
2026-01-18T00:30:30.82812+00:00,binance,452.4495,451.0005
2026-01-18T00:35:30.979734+00:00,bcv,344.51,
2026-01-18T00:35:30.979734+00:00,bybit,453.1905,448.5925
2026-01-18T00:35:30.979734+00:00,binance,452,451.7
2026-01-18T00:40:30.981+00:00,bcv,344.51,
2026-01-18T00:40:30.981+00:00,bybit,453.1905,448.5925
2026-01-18T00:40:30.981+00:00,binance,452.4,451.25
2026-01-18T00:45:30.791057+00:00,bcv,344.51,
2026-01-18T00:45:30.791057+00:00,bybit,453.4405,448.591
2026-01-18T00:45:30.791057+00:00,binance,452.5,451
2026-01-18T00:50:31.057184+00:00,bybit,453.4405,448.591
2026-01-18T00:50:31.057184+00:00,binance,452.425,451
2026-01-18T00:50:31.057184+00:00,bcv,344.51,
2026-01-18T00:55:30.935139+00:00,bcv,344.51,
2026-01-18T00:55:30.935139+00:00,bybit,452.5,448.591
2026-01-18T00:55:30.935139+00:00,binance,452,450.9025
2026-01-18T01:00:31.268112+00:00,binance,452.41,451.25
2026-01-18T01:00:31.268112+00:00,bcv,344.51,
2026-01-18T01:00:31.268112+00:00,bybit,452.5,448.57
2026-01-18T01:05:30.861658+00:00,bcv,344.51,
2026-01-18T01:05:30.861658+00:00,bybit,453.1905,448.1115
2026-01-18T01:05:30.861658+00:00,binance,452,451.55
2026-01-18T01:10:31.060225+00:00,bybit,453.1905,448.112
2026-01-18T01:10:31.060225+00:00,binance,452.41,451.205
2026-01-18T01:10:31.060225+00:00,bcv,344.51,
2026-01-18T01:15:30.844273+00:00,binance,452.464,451.65
2026-01-18T01:15:30.844273+00:00,bybit,453.745,448.112
2026-01-18T01:15:30.844273+00:00,bcv,344.51,
2026-01-18T01:20:31.376722+00:00,bcv,344.51,
2026-01-18T01:20:31.376722+00:00,bybit,453.9945,448.112
2026-01-18T01:20:31.376722+00:00,binance,452.464,451.5
2026-01-18T01:25:31.207006+00:00,binance,451.7495,451.8
2026-01-18T01:25:31.207006+00:00,bcv,344.51,
2026-01-18T01:25:31.207006+00:00,bybit,454,448.112
2026-01-18T01:30:31.216314+00:00,bybit,454,448.112
2026-01-18T01:30:31.216314+00:00,binance,451.525,452
2026-01-18T01:30:31.216314+00:00,bcv,344.51,
2026-01-18T01:35:31.18078+00:00,binance,452,452
2026-01-18T01:35:31.18078+00:00,bcv,344.51,
2026-01-18T01:35:31.18078+00:00,bybit,454,448.112
2026-01-18T01:40:31.095923+00:00,binance,451.5,451.6
2026-01-18T01:40:31.095923+00:00,bcv,344.51,
2026-01-18T01:40:31.095923+00:00,bybit,454,448.112
2026-01-18T01:45:30.998468+00:00,bcv,344.51,
2026-01-18T01:45:30.998468+00:00,bybit,453.75,448.112
2026-01-18T01:45:30.998468+00:00,binance,451.5,452
2026-01-18T01:50:31.022604+00:00,binance,451.525,451.6525
2026-01-18T01:50:31.022604+00:00,bcv,344.51,
2026-01-18T01:50:31.022604+00:00,bybit,454,448.0005
2026-01-18T01:55:31.196942+00:00,binance,451.5495,451.05
2026-01-18T01:55:31.196942+00:00,bybit,454,448.0005
2026-01-18T01:55:31.196942+00:00,bcv,344.51,
2026-01-18T02:00:30.869682+00:00,bcv,344.51,
2026-01-18T02:00:30.869682+00:00,bybit,454,448.0005
2026-01-18T02:00:30.869682+00:00,binance,451.5495,451.0025
2026-01-18T02:05:30.921839+00:00,bybit,454,448
2026-01-18T02:05:30.921839+00:00,binance,451.999,451.8
2026-01-18T02:05:30.921839+00:00,bcv,344.51,
2026-01-18T02:10:30.896495+00:00,bybit,454,448.0005
2026-01-18T02:10:30.896495+00:00,binance,451.9495,451.1
2026-01-18T02:10:30.896495+00:00,bcv,344.51,
2026-01-18T02:15:30.942172+00:00,bcv,344.51,
2026-01-18T02:15:30.942172+00:00,bybit,453.9995,448.2755
2026-01-18T02:15:30.942172+00:00,binance,452,451.25
2026-01-18T02:20:30.996884+00:00,binance,452.195,451.2
2026-01-18T02:20:30.996884+00:00,bcv,344.51,
2026-01-18T02:20:30.996884+00:00,bybit,453.9995,448.7
2026-01-18T02:25:31.483073+00:00,bcv,344.51,
2026-01-18T02:25:31.483073+00:00,bybit,453.9995,449
2026-01-18T02:25:31.483073+00:00,binance,452,451.35
2026-01-18T02:30:31.110589+00:00,bybit,453.9995,449
2026-01-18T02:30:31.110589+00:00,binance,452.0945,451
2026-01-18T02:30:31.110589+00:00,bcv,344.51,
2026-01-18T02:35:30.966841+00:00,binance,452.1445,451.61
2026-01-18T02:35:30.966841+00:00,bybit,454,449
2026-01-18T02:35:30.966841+00:00,bcv,344.51,
2026-01-18T02:40:30.865056+00:00,bcv,344.51,
2026-01-18T02:40:30.865056+00:00,bybit,454,449
2026-01-18T02:40:30.865056+00:00,binance,452.1445,451.03
2026-01-18T02:45:30.883797+00:00,bybit,454,449
2026-01-18T02:45:30.883797+00:00,binance,452.05,451.125
2026-01-18T02:45:30.883797+00:00,bcv,344.51,
2026-01-18T02:50:30.935784+00:00,bybit,454,449
2026-01-18T02:50:30.935784+00:00,binance,452.145,451
2026-01-18T02:50:30.935784+00:00,bcv,344.51,
2026-01-18T02:55:30.885061+00:00,binance,452.145,451
2026-01-18T02:55:30.885061+00:00,bcv,344.51,
2026-01-18T02:55:30.885061+00:00,bybit,454,449
2026-01-18T03:00:30.897036+00:00,binance,452.1995,450.68
2026-01-18T03:00:30.897036+00:00,bcv,344.51,
2026-01-18T03:00:30.897036+00:00,bybit,454,448.875
2026-01-18T03:05:30.809956+00:00,bybit,454,448.7
2026-01-18T03:05:30.809956+00:00,binance,452.499,451.25
2026-01-18T03:05:30.809956+00:00,bcv,344.51,
2026-01-18T03:10:30.97056+00:00,bcv,344.51,
2026-01-18T03:10:30.97056+00:00,bybit,454,448.7
2026-01-18T03:10:30.97056+00:00,binance,452.4995,450.855
2026-01-18T03:15:30.816062+00:00,binance,452.3445,450.655
2026-01-18T03:15:30.816062+00:00,bybit,454,448.7
2026-01-18T03:15:30.816062+00:00,bcv,344.51,
2026-01-18T03:20:31.19834+00:00,bcv,344.51,
2026-01-18T03:20:31.19834+00:00,bybit,454,448.7
2026-01-18T03:20:31.19834+00:00,binance,452.999,450.655
2026-01-18T03:25:31.062426+00:00,bcv,344.51,
2026-01-18T03:25:31.062426+00:00,bybit,454,448.7
2026-01-18T03:25:31.062426+00:00,binance,452.9995,450.655
2026-01-18T03:30:31.098236+00:00,bybit,454,448.7
2026-01-18T03:30:31.098236+00:00,binance,453,450.5825
2026-01-18T03:30:31.098236+00:00,bcv,344.51,
2026-01-18T03:35:31.110459+00:00,bcv,344.51,
2026-01-18T03:35:31.110459+00:00,bybit,454,448.7
2026-01-18T03:35:31.110459+00:00,binance,453.15,450.805
2026-01-18T03:40:31.14838+00:00,binance,453,451.255
2026-01-18T03:40:31.14838+00:00,bcv,344.51,
2026-01-18T03:40:31.14838+00:00,bybit,454,448.7
2026-01-18T03:45:30.719116+00:00,bcv,344.51,
2026-01-18T03:45:30.719116+00:00,bybit,454,447.05
2026-01-18T03:45:30.719116+00:00,binance,452.999,450.6505
2026-01-18T03:50:30.868949+00:00,bybit,454,447.05
2026-01-18T03:50:30.868949+00:00,binance,452.9995,450.75
2026-01-18T03:50:30.868949+00:00,bcv,344.51,
2026-01-18T03:55:31.22189+00:00,binance,452.7445,450.5
2026-01-18T03:55:31.22189+00:00,bybit,454,447.05
